timeMs,evt,a,b,c,d,s
67472,1,0,25.7,28.8220733243316,-2.44099344065914,CL
67472,5,-0.705518331082907,-1.5,-0.235475109576233,-2.44099344065914,
68476,1,0,29.9,29.1184825412425,-2.40871887958944,CL
68476,5,-0.779620635310636,-1.5,-0.129098244278803,-2.40871887958944,
69479,1,0,29.9,29.3317397450691,-2.39356209092501,CL
69479,5,-0.832934936267281,-1.5,-0.0606271546577261,-2.39356209092501,
70584,1,0,27.1,28.7132563117186,-2.35051248832594,CL
70584,5,-0.678314077929651,-1.5,-0.172198410396286,-2.35051248832594,
70636,4,0,27.1,26,0,MEDIUM
70645,3,2,10,0,0,
73826,1,2,28.3,29.0333592165998,-2.05611585637663,CL
73826,5,-0.758339804149951,-1.5,0.20222394777332,-2.05611585637663,
77408,1,2,25.1,27.1413817000351,-1.74969810122776,CL
77408,5,-0.285345425008765,-1.5,0.0356473237810065,-1.74969810122776,
81073,1,2,24.6,25.97557272111,-0.443868369798252,CL
81073,5,0.00610681972249694,-0.400772449950551,-0.0492027395701979,-0.443868369798252,
84160,1,2,29.2,27.3756411310634,-1.78993458042511,CL
84160,5,-0.343910282765846,-1.5,0.0539757023407331,-1.78993458042511,
87110,1,2,30.5,28.6931838461182,-2.04227921865331,CL
87110,5,-0.673295961529546,-1.5,0.13101674287624,-2.04227921865331,
87110,2,2,0,30.5,0,MEDIUM
88113,1,0,29.9,29.1070854095397,-2.08917764539963,CL
88113,5,-0.776771352384935,-1.5,0.187593706985303,-2.08917764539963,
89415,1,0,23,27.1455405712746,-2.02861914488343,CL
89415,5,-0.286385142818645,-1.5,-0.24223400206479,-2.02861914488343,
90520,1,0,27.1,27.1318089242753,-1.97948576212051,CL
90520,5,-0.282952231068818,-1.5,-0.196533531051693,-1.97948576212051,
91510,1,0,30.3,28.0378556098493,-1.98548139018887,CL
91510,5,-0.509463902462329,-1.5,0.0239825122734542,-1.98548139018887,
92531,1,0,29.4,28.418686172598,-2.009319420781,CL
92531,5,-0.604671543149497,-1.5,0.0953521223684974,-2.009319420781,
93756,1,0,24.5,27.2949058459383,-1.97220082892172,CL
93756,5,-0.323726461484581,-1.5,-0.148474367437135,-1.97220082892172,
95235,1,0,20.3,25.1756038589357,1.16345914391584,CL
95235,5,0.20609903526608,1.5,-0.542639891350236,1.16345914391584,
96925,1,0,17.8,22.8106756256871,1.39023353384832,CL
96925,5,0.797331093578234,1.5,-0.907097559729912,1.39023353384832,
96925,2,0,1,17.8,0,MEDIUM
99405,1,1,24.2,23.314313915451,1.49610730232971,CL
99405,5,0.67142152113725,1.5,-0.675314218807537,1.49610730232971,
101604,1,1,27.3,24.7812492346328,1.41112984821396,CL
101604,5,0.304687691341811,1.5,-0.393557843127853,1.41112984821396,
103898,1,1,26.2,25.3118658029778,1.41024893158777,CL
103898,5,0.172033549255548,1.5,-0.261784617667778,1.41024893158777,
106128,1,1,26.9,25.9055531959727,1.37355274617209,CL
106128,5,0.0236117010068213,1.5,-0.150058954834731,1.37355274617209,
108382,1,1,26.6,26.1657609472857,-1.63546662555791,CL
108382,5,-0.0414402368214182,-1.5,-0.0940263887364893,-1.63546662555791,
112156,1,1,15.9,21.7591252310988,2.04433400961743,CL
112156,5,1.06021869222531,1.5,-0.515884682607883,2.04433400961743,
116193,1,1,14.9,18.6421119784275,2.6150629340397,CL
116193,5,1.83947200539314,1.5,-0.724409071353437,2.6150629340397,
116193,2,1,3,14.9,0,LOW
121265,1,3,23.7,21.1215931968343,2.26404850462902,CL
121265,5,1.21960170079142,1.5,-0.455553196162407,2.26404850462902,
125451,1,3,28.7,24.7297963288138,1.63351851746559,CL
125451,5,0.317550917796539,1.5,-0.184032400330949,1.63351851746559,
129471,1,3,29.9,27.1471334039358,-1.81314241749261,CL
129471,5,-0.286783350983944,-1.5,-0.0263590665086624,-1.81314241749261,
129471,2,3,0,29.9,0,MEDIUM
130546,1,0,27.9,27.4220051273196,-1.82161419036006,CL
130546,5,-0.355501281829894,-1.5,0.0338870914698301,-1.82161419036006,
131644,1,0,27.3,27.3827209391336,-1.82642739924473,CL
131644,5,-0.34568023478339,-1.5,0.0192528355386608,-1.82642739924473,
132584,1,0,31.9,28.709804159241,-1.89663212735783,CL
132584,5,-0.677451039810258,-1.5,0.280818912452423,-1.89663212735783,
133573,1,0,30.3,29.1581751696554,-1.97521446036904,CL
133573,5,-0.789543792413862,-1.5,0.314329332044822,-1.97521446036904,
134576,1,0,29.9,29.3633245295212,-2.04833779477129,CL
134576,5,-0.840831132380289,-1.5,0.292493337608999,-2.04833779477129,
135604,1,0,29.2,29.3184071455061,-2.10459059309234,CL
135604,5,-0.829601786376517,-1.5,0.225011193284182,-2.10459059309234,
136307,4,0,29.2,26,0,MEDIUM
