timeMs,evt,a,b,c,d,s
259028,1,0,29.8,29.9529033111825,-2.31985831334768,CL
259028,5,-0.988225827795619,-1.5,0.168367514447936,-2.31985831334768,
260050,1,0,29.4,29.8024406141644,-2.34600868138637,CL
260050,5,-0.950610153541099,-1.5,0.104601472154733,-2.34600868138637,
261034,1,0,30.5,29.9910302176525,-2.37635845599172,CL
261034,5,-0.997757554413125,-1.5,0.121399098421407,-2.37635845599172,
262029,1,0,30.2,30.0474513158594,-2.40345933058635,CL
262029,5,-1.01186282896486,-1.5,0.108403498378514,-2.40345933058635,
263022,1,0,30.3,30.1155631783127,-2.42854562338471,CL
263022,5,-1.02889079457818,-1.5,0.100345171193464,-2.42854562338471,
264019,1,0,30.1,30.1113649785366,-2.4484047476346,CL
264019,5,-1.02784124463414,-1.5,0.079436496999543,-2.4484047476346,
265022,1,0,30,30.0812852152671,-2.46278805887103,CL
265022,5,-1.02032130381678,-1.5,0.0575332449457419,-2.46278805887103,
266025,1,0,30,30.0593149235921,-2.47319619327643,CL
266025,5,-1.01482873089803,-1.5,0.0416325376215942,-2.47319619327643,
267019,1,0,30.2,30.0972866547944,-2.48342128736086,CL
267019,5,-1.02432166369859,-1.5,0.0409003763377292,-2.48342128736086,
268165,1,0,26.2,29.0149296251076,-2.43748351114407,CL
268165,5,-0.753732406276892,-1.5,-0.183751104867178,-2.43748351114407,
268632,4,0,26.2,26,0,MEDIUM
268643,3,2,10,0,0,
280915,1,2,7.4,14.4029747149232,3.62612130226409,CL
280915,5,2.89925632126921,1.5,-0.773135019005123,3.62612130226409,
284170,1,2,27.7,21.103055220182,2.55240021343432,CL
284170,5,1.22423619495449,1.5,-0.171835981520172,2.55240021343432,
284170,2,2,3,27.7,0,LOW
288273,1,3,29.3,25.0177733020858,1.8038237933576,CL
288273,5,0.245556674478546,1.5,0.0582671188790507,1.8038237933576,
293597,1,3,22.6,23.8028827112317,2.03514848775262,CL
293597,5,0.549279322192087,1.5,-0.0141308344394676,2.03514848775262,
293597,2,3,2,22.6,0,LOW
298309,1,2,19.2,21.5321283732451,2.45427961660471,CL
298309,5,1.11696790668872,1.5,-0.162688290084009,2.45427961660471,
301275,1,2,30.4,25.4456965737255,1.76932977120011,CL
301275,5,0.13857585656863,1.5,0.130753914631483,1.76932977120011,
305738,1,2,20.2,22.979000464922,2.19540660822113,CL
305738,5,0.755249883769509,1.5,-0.0598432755483816,2.19540660822113,
310005,1,2,21.1,22.0905469150169,2.37025841414673,CL
310005,5,0.977363271245777,1.5,-0.107104857099043,2.37025841414673,
313142,1,2,28.7,25.000402599527,1.85820584340636,CL
313142,5,0.249899350118258,1.5,0.108306493288104,1.85820584340636,
316135,1,2,30.1,27.1684499434948,-1.56093080164536,CL
316135,5,-0.292112485873695,-1.5,0.231181684228337,-1.56093080164536,
319135,1,2,30,28.3586557575069,-1.82537153772657,CL
319135,5,-0.589663939376716,-1.5,0.264292401650142,-1.82537153772657,
319135,2,2,0,30,0,MEDIUM
320339,1,0,25,27.1799017794683,-1.81929231915468,CL
320339,5,-0.294975444867083,-1.5,-0.0243168742875929,-1.81929231915468,
321329,1,0,30.4,28.1791814125143,-1.86439292594946,CL
